Num,Latitude,Longitude,Dust Levels,Air Pollution Levels,Information
0,33.976781,-84.217004,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
1,33.977195,-84.215534,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
2,33.9781,-84.212125,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
3,33.976392,-84.210483,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
4,33.971427,-84.208778,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
5,33.969274,-84.205152,1,0,The recorded PM2.5 Dust Concentration is between 30 - 60 ug/m^3. Those very sensitive to dust may experience some discomfort. No significant pollutants detected.
6,33.97213,-84.199927,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
7,33.967966,-84.195646,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
8,33.970804,-84.189885,1,0,The recorded PM2.5 Dust Concentration is between 30 - 60 ug/m^3. Those very sensitive to dust may experience some discomfort. No significant pollutants detected.
9,33.972904,-84.184488,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
10,33.973251,-84.183394,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
11,33.976837,-84.175186,1,0,The recorded PM2.5 Dust Concentration is between 30 - 60 ug/m^3. Those very sensitive to dust may experience some discomfort. No significant pollutants detected.
12,33.980457,-84.172048,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
13,33.98406,-84.171356,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
14,33.984247,-84.174328,1,0,The recorded PM2.5 Dust Concentration is between 30 - 60 ug/m^3. Those very sensitive to dust may experience some discomfort. No significant pollutants detected.
15,33.987458,-84.173845,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
16,33.988623,-84.180357,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
17,33.989032,-84.182996,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
18,33.987635,-84.189187,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
19,33.983276,-84.194305,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
20,33.984993,-84.201987,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
21,33.9826,-84.21027,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
22,33.981755,-84.212491,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
23,33.979885,-84.214461,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
24,33.979796,-84.211806,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
25,33.979978,-84.213136,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
26,33.975984,-84.210105,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
27,33.975593,-84.208635,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
28,33.976385,-84.208791,0,0,The recorded PM2.5 Dust Concentration is between 0 - 30 ug/m^3. There is little to no risk. No significant pollutants detected
